phrase,Response
I would like to make restaurant booking,"I can help with making a booking! on what date would you like to make the booking in the format dd/mm/yyyy"
Can I make a reservation online?,"Yes, you can book online directly through our website or I can help you make the booking right here. When would you like to make your booking?"
on the 00/00/0000,"Perfect, what time would you like to make the reservation on [date]?"
make a booking,"I can help with making a restaurant booking! Tell me the date (dd/mm/yyyy) on which you would like to make the booking"
I want to book a table,"Sure! What date would you like to make the reservation?"
can i book a table,"Sure! What date would you like to make the reservation?"
I want to book a table at [time],"Sure! that can be arranged"
i want to make a booking tomorrow,"of course! I will check availabilty for tomorrow, What time would you like the booking"
at [time]pm,"that can be arranged"
what is the time of my booking,"You have made a booking at [time]"
what is the date of my booking,"You hava a booking on [date]"
how many people for my booking,"You have a booking for [people] people"
to what name is my booking,"your booking is under the name [name]"
what are the dietary requirements of my booking, "you have set the dietary requirements to [dietary]"
what seating options do you have,"We have outdoor seating and indoor seating available"
do you provide kids menus,"Of Course! You can request a kids menu when you are seated at the restaurant"
do you have high chairs,"yes we do! However there is limited availabiliy so we cannot guarantee that you will be provided with one"
what are your opening times,"we are open all days a week from 11:00 to 23:00"
What is the max number of guest you can accommodate,"We can accommodate up to 20 guests"
the service is bad,"I am so sorry to hear that, I will notify the staff of your dissatisfaction"
the service is good,"that's good to hear! I will notify the staff of your satisfaction"
i would like to make a booking
00/00/0000,"I will look at it right now"
